feature,avg_profitable,avg_unprofitable,difference,difference_pct,std_profitable,std_unprofitable,n_profitable,n_unprofitable,abs_diff_pct
sma_50_slope,-0.0014672961179452457,-0.0006246505566813037,0.000842645561263942,-57.4284598015536,0.0033936421051258907,0.0032089726275852473,30,13,57.4284598015536
support_touch_count,12.05,18.857142857142858,6.807142857142857,56.49081209247184,11.284834956701848,17.763755808053748,20,7,56.49081209247184
sma_20_slope_1h,-0.007661373998010608,-0.003363437620430589,0.00429793637758002,-56.098767384232175,0.011794351699247441,0.008344583231066646,31,14,56.098767384232175
dist_from_swing_low_50_12h,0.5524846471301949,0.24399630181518736,-0.30848834531500746,-55.836546213077156,0.47363689889054295,0.36915032505863266,25,12,55.836546213077156
volume_volatility_interaction,0.644338592387375,0.9774988865961328,0.3331602942087578,51.70577987178247,0.0,0.0,1,1,51.70577987178247
roc_5_atr_norm_6h,-2.03580338338598,-0.9950704277494267,1.0407329556365532,-51.121486688247366,0.8717277594860279,1.3656284526699471,20,8,51.121486688247366
dist_from_swing_low_50_6h,0.04418898687313046,0.06663047985665548,0.022441492983525012,50.78526250886004,0.030951488869387325,0.04563803669052558,20,8,50.78526250886004
mfi_trend_adjusted,11.848384665169014,17.511643870135636,5.6632592049666215,47.797732475845784,8.808532557922895,8.843740903968168,15,8,47.797732475845784
cmf_20,0.320384223974314,0.1680935648787613,-0.1522906590955527,-47.53375718891896,0.21715417524272937,0.022061880050398747,3,2,47.53375718891896
roc_10_atr_norm_1h,-0.5117561300084413,-0.28049426307987474,0.2312618669285666,-45.1898577013141,1.3008082099901648,1.0810509557647867,24,11,45.1898577013141
sma_20_slope_1d,-0.03031266265776898,-0.017209307311617184,0.013103355346151795,-43.22733206940326,0.006899231843095349,0.004668254102641489,6,2,43.22733206940326
obv_ma_20,-0.3965186184611015,-0.23811472114087953,0.15840389732022195,-39.94866569821901,1.2598187415715378,1.4561779502491006,18,9,39.94866569821901
sr_proximity,-0.06034631623248264,-0.03833348246390059,0.022012833768582055,-36.477510381542054,0.47527925251850783,0.7351563404591296,21,8,36.477510381542054
dist_from_swing_low_50_1h,0.060166807734441184,0.03889556593116543,-0.021271241803275755,-35.35378160191054,0.04517839834698565,0.02666431969201977,17,10,35.35378160191054
dist_from_swing_low_50_1d,1.2679534515947877,0.8336355291965687,-0.434317922398219,-34.25345952976026,1.0068682310330157,0.4432440206747411,25,9,34.25345952976026
price_change_autocorr,0.08603353856904633,0.056929319728032744,-0.029104218841013586,-33.82892221462675,0.03543152474681272,0.07437512846948413,2,2,33.82892221462675
above_sma_50,0.3333333333333333,0.4444444444444444,0.1111111111111111,33.33333333333333,0.4714045207910317,0.4969039949999533,18,9,33.33333333333333
dist_from_r1,-0.06993905775455554,-0.047656488733440486,0.022282569021115056,-31.859978868050536,0.0544700575513545,0.0563064396430818,33,14,31.859978868050536
sma_50_slope_1d,-0.037836020466048774,-0.02578764262981431,0.012048377836234463,-31.843670893046955,0.01648966328750001,0.013518032358207076,18,4,31.843670893046955
dist_from_swing_high_50_1h,-0.07751039821199886,-0.0529927138678591,0.024517684344139756,-31.63147772390665,0.04951220618166708,0.04242781774859471,19,8,31.63147772390665
vwap_rsi_interaction,0.013019800609504988,0.008911838730664819,-0.004107961878840169,-31.551649691479827,0.025192352613225947,0.008401080859710164,8,6,31.551649691479827
rsi_price_divergence_cont_1d,-0.049896842193568346,-0.03430531260720188,0.015591529586366469,-31.247527701013915,0.07372604294052434,0.1067071711412843,13,6,31.247527701013915
dist_from_s1,0.038428173621161035,0.04919048348641238,0.010762309865251347,28.006300719233046,0.06754576222701118,0.052455068295967244,33,14,28.006300719233046
dist_from_swing_low_50,0.037444539283270135,0.04771819237196043,0.010273653088690292,27.436986234413258,0.027802878404053714,0.033068709728820644,31,13,27.436986234413258
rvol_ratio,0.9905405670936157,1.255154419870651,0.2646138527770353,26.714085375972967,0.48720712865592675,0.6381373704630132,23,10,26.714085375972967
stoch_k,51.26142214104478,64.78958496313578,13.528162822090998,26.390533576826115,26.730857309461616,33.64139117682964,5,4,26.390533576826115
dist_from_sma_50_12h,-0.12844384078105595,-0.09480655412006266,0.03363728666099329,-26.188322037435075,0.022987324721307406,0.0396840284346429,8,2,26.188322037435075
sma_20_slope_2h,-0.012034388225850524,-0.015140472032766264,-0.00310608380691574,25.81006818646337,0.016423442401205822,0.013112368755352566,18,8,25.81006818646337
resistance_strength,2.4782608695652173,3.111111111111111,0.6328502415458939,25.536062378167646,5.717019329939649,3.871389197818744,23,9,25.536062378167646
