symbol,side,createdTime,updatedTime,avgEntryPrice,avgExitPrice,qty,closedPnl,stopLoss,takeProfit,leverage
KASUSDT,Buy,2025-11-06 22:22:52.226,2025-11-06 22:27:20.898,0.052595,0.05162,880.0,0.8237592,0.0,0.0,20
WIFUSDT,Buy,2025-11-06 22:43:08.337,2025-11-06 22:43:08.341,0.4282,0.4237,11.0,0.04599457,0.0,0.0,20
ONDOUSDT,Buy,2025-11-06 22:44:34.372,2025-11-06 22:44:34.375,0.5946,0.5897,40.0,0.1782698,0.0,0.0,20
WIFUSDT,Buy,2025-11-06 22:44:42.075,2025-11-06 22:44:42.078,0.4282,0.4236,44.0,0.18838072,0.0,0.0,20
BRETTUSDT,Sell,2025-11-06 22:53:22.522,2025-11-06 22:53:22.526,0.02126,0.02146,1110.0,0.20417895,0.0,0.0,20
WIFUSDT,Sell,2025-11-06 23:04:11.737,2025-11-07 00:44:48.751,0.42405,0.433,99.0,0.85197172,0.0,0.0,20
PONKEUSDT,Sell,2025-11-06 23:05:18.251,2025-11-07 01:24:04.375,0.04799667,0.04917262,1449.0,1.64737886,0.0,0.0,20
BRETTUSDT,Sell,2025-11-06 23:31:42.282,2025-11-07 00:43:57.934,0.02126,0.02168,1100.0,0.4430272,0.0,0.0,20
PONKEUSDT,Sell,2025-11-07 00:10:12.154,2025-11-07 00:10:12.157,0.04799667,0.04858,12.0,0.00653525,0.0,0.0,20
HBARUSDT,Buy,2025-11-07 00:33:26.905,2025-11-07 03:01:28.511,0.16453333,0.16662863,444.0,-0.9856113,0.0,0.0,20
WIFUSDT,Sell,2025-11-07 00:34:42.752,2025-11-07 00:34:42.755,0.42405,0.4308,11.0,0.07047684,0.0,0.0,20
SOLUSDT,Sell,2025-11-07 01:02:30.590,2025-11-07 01:02:30.594,154.56333334,156.71,0.3,0.6110701,0.0,0.0,20
WIFUSDT,Buy,2025-11-07 01:21:03.570,2025-11-07 01:34:36.841,0.437,0.4301,57.0,0.37483456,0.0,0.0,20
PONKEUSDT,Buy,2025-11-07 01:55:18.175,2025-11-07 02:46:49.315,0.04886,0.04956101,1548.0,-1.14248331,0.0,0.0,20
BRETTUSDT,Buy,2025-11-07 01:57:31.101,2025-11-07 02:54:05.849,0.02175333,0.02206,3480.0,-1.12456316,0.0,0.0,20
ONDOUSDT,Buy,2025-11-07 02:06:25.964,2025-11-07 05:10:22.489,0.60666666,0.6148,123.0,-1.05315019,0.0,0.0,20
SUIUSDT,Buy,2025-11-07 02:36:35.004,2025-11-07 05:09:01.046,1.99753333,2.0253,30.0,-0.87840265,0.0,0.0,20
ETHUSDT,Sell,2025-11-07 02:58:50.068,2025-11-07 02:58:50.072,3290.045,3343.63,0.02,1.02175989,0.0,0.0,20
BRETTUSDT,Buy,2025-11-07 03:01:27.091,2025-11-07 09:28:03.753,0.02227,0.02178,2140.0,1.01822163,0.0,0.0,20
