symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,date,outcome
LINKUSDT,Market,20.0,1762255580063,Buy,c5a60584-8a00-4667-86c0-825bf22fd7fb,0.23833069,0.00789776,0.02157155,15.188,2.6,39.4888,1762255580060,15.842,2.6,15.085,Trade,1,39.221,2025-11-04 11:26:20.060,WIN
KASUSDT,Market,20.0,1762255903833,Buy,061e464b-cb89-4697-96de-07b63f47c483,0.19889584,0.008008,0.02189616,0.0455,880.0,40.04,1762255903830,0.04777,880,0.04524,Trade,2,39.8112,2025-11-04 11:31:43.830,WIN
HBARUSDT,Market,20.0,1762255927949,Buy,dc2ab9cb-f6cf-454a-b227-0c181e461500,0.00446743,0.0001761,0.00048147,0.176105,5.0,0.880525,1762255927945,0.18382,5,0.17508,Trade,1,0.8754,2025-11-04 11:32:07.945,WIN
TRXUSDT,Market,20.0,1762257946363,Sell,de19f735-5334-4f9f-9a99-e73f2e38c64b,0.02189941,0.00027679,0.0007738,0.27679,5.0,1.38395,1762257946360,0.26733,5,0.28138,Trade,1,1.4069,2025-11-04 12:05:46.360,WIN
NEARUSDT,Market,20.0,1762267287082,Buy,93cca2c8-a075-40d7-8018-f7622cb3c796,0.00154137,0.00022932,0.00062931,1.911,0.6,1.1466,1762258212782,1.999,0.6,1.907,Trade,1,1.1442,2025-11-04 12:10:12.782,WIN
TRXUSDT,Market,20.0,1762258255904,Sell,12fd8f8f-4662-4dfb-8cca-1574f48d1b2f,0.28627839,0.00376435,0.01051726,0.27679,68.0,18.82172,1762258255901,0.26716,68,0.28121,Trade,1,19.12228,2025-11-04 12:10:55.901,WIN
NEARUSDT,Market,20.0,1762258535140,Buy,818a5261-1cb9-419f-9265-2d194d338d07,0.13556896,0.00194922,0.00528182,1.911,5.1,9.7461,1762258535136,1.976,5.1,1.883,Trade,1,9.6033,2025-11-04 12:15:35.136,WIN
HBARUSDT,Market,20.0,1762259766600,Buy,d9d48a4e-1ccc-4391-a4e7-115a350f28d7,0.01002048,0.0001761,0.00047842,0.176105,5.0,0.880525,1762259766596,0.18264,5,0.17397,Trade,1,0.86985,2025-11-04 12:36:06.596,WIN
DOGEUSDT,Market,20.0,1762259827455,Buy,c41adc2c-f0df-4c7e-b392-71edb818617d,0.01158199,0.00016659,0.00045142,0.16659,5.0,0.83295,1762259827451,0.17239,5,0.16415,Trade,1,0.82075,2025-11-04 12:37:07.451,WIN
1000PEPEUSDT,Market,20.0,1762259934358,Buy,faf2c09e-ee37-4600-90fe-a5ab1d107108,0.089985,0.0040194,0.0109956,0.005742,3500.0,20.097,1762259934354,0.005995,3500,0.005712,Trade,1,19.992,2025-11-04 12:38:54.354,WIN
ETHUSDT,Market,20.0,1762259985784,Buy,a4c1b5f4-0567-4ff8-bc87-b52b174ee22c,0.69226755,0.02113508,0.05769737,3522.5133,0.03,105.6754,1762259985779,3567.43,0.03,3496.81,Trade,1,104.9043,2025-11-04 12:39:45.779,WIN
NEARUSDT,Market,20.0,1762260056313,Buy,b56efb32-fff8-4681-bf6d-01ae3ccd8604,0.1763914,0.00194922,0.00525938,1.911,5.1,9.7461,1762260056310,1.967,5.1,1.875,Trade,1,9.5625,2025-11-04 12:40:56.310,WIN
DOGEUSDT,Market,20.0,1762261658347,Buy,c79bbb46-386a-429e-a004-eae5d655a0d5,0.01503389,0.00016659,0.00044952,0.16659,5.0,0.83295,1762261658343,0.17164,5,0.16346,Trade,1,0.8173,2025-11-04 13:07:38.343,WIN
HBARUSDT,Market,20.0,1762262466624,Buy,636b7c53-9eb6-4e30-8094-6baf5325ea1f,0.0155235,0.0001761,0.0004754,0.176105,5.0,0.880525,1762262466620,0.18153,5,0.17287,Trade,1,0.86435,2025-11-04 13:21:06.620,WIN
SUIUSDT,Market,20.0,1762267573001,Sell,a7c14d5e-ae48-4dbd-a28a-edcc03dbb9a9,0.8833353,0.0080432,0.0226215,2.0108,20.0,40.216,1762265988331,1.9532,20,2.0565,Trade,1,41.13,2025-11-04 14:19:48.331,WIN
TRXUSDT,Market,20.0,1762266425239,Sell,7e193b71-4177-4434-8d49-292dd7e183e9,0.01474889,0.00415318,0.01143793,0.28062,74.0,20.76588,1762266425235,0.26699,74,0.28103,Trade,1,20.79622,2025-11-04 14:27:05.235,WIN
SOLUSDT,Market,20.0,1762267161623,Buy,c212fb35-287f-4f5d-9bf7-6f5a5697bc2c,0.4139424,0.0064796,0.017578,161.99,0.2,32.398,1762267161620,167.76,0.2,159.8,Trade,2,31.96,2025-11-04 14:39:21.620,WIN
1000PEPEUSDT,Market,20.0,1762269558973,Buy,e1e2a1a4-3218-4de8-8ecf-3db042a69cd4,-0.05140906,0.008106,0.02230306,0.00579,7000.0,40.53,1762267902192,0.006079,7000,0.005793,Trade,3,40.551,2025-11-04 14:51:42.192,LOSS
LINKUSDT,Market,20.0,1762269143168,Buy,cc35b636-cc55-4320-91a1-ba6ce388d7cc,-0.02141425,0.00397618,0.01093807,15.293,1.3,19.8809,1762267911495,16.057,1.3,15.298,Trade,3,19.8874,2025-11-04 14:51:51.495,LOSS
