trade_number,strategy,entry_date,entry_price,position_size_units,risk_amount_usd,tp_price,sl_price,capital_before_trade,is_be,pred_momentum,pred_reversion,pred_pa,exit_date,exit_price,pnl_usd,exit_reason
59,short,2025-05-05 09:00:00+00:00,1826.64,0.418874356781844,2.464345675002383,1814.873485124582,1832.5232574377092,3825.6632753599374,False,0,0,0,2025-05-05 10:15:00+00:00,1814.873485124582,4.928691350004766,Take Profit
60,short,2025-05-05 10:15:00+00:00,1816.13,0.42172002738900205,2.358323576039985,1804.945690871306,1821.7221545643472,3829.491966709942,False,0,0,1,2025-05-05 10:35:00+00:00,1804.945690871306,4.71664715207997,Take Profit
61,long,2025-05-05 11:35:00+00:00,1798.19,0.42632965524911404,3.3743316504151943,1814.0196830111126,1790.2751584944438,3833.108613862022,False,1,1,1,2025-05-05 14:00:00+00:00,1814.0196830111126,6.748663300830389,Take Profit
62,short,2025-05-05 15:00:00+00:00,1805.95,0.42512331760711564,4.173086754064881,1786.317641193836,1815.766179403082,3838.7572771628525,False,0,0,1,2025-05-05 16:05:00+00:00,1802.0,1.679237104548126,Model Exit Signal
63,long,2025-05-05 16:05:00+00:00,1802.0,0.426119479940888,3.794290108157448,1819.8085738238665,1793.0957130880668,3839.3365142674006,False,1,1,0,2025-05-05 18:30:00+00:00,1819.8085738238665,7.588580216314896,Take Profit
64,short,2025-05-05 19:00:00+00:00,1825.17,0.42142102866951736,2.9779935483062827,1811.0368963069632,1832.2365518465185,3845.8250944837155,False,0,0,0,2025-05-05 20:05:00+00:00,1811.0368963069632,5.955987096612565,Take Profit
65,long,2025-05-05 20:30:00+00:00,1800.61,0.42770850784793246,3.1016275787367458,1815.1134644942788,1793.3582677528605,3850.6810815803283,False,1,1,1,2025-05-05 21:15:00+00:00,1815.1134644942788,6.2032551574734915,Take Profit
66,long,2025-05-05 22:00:00+00:00,1816.42,0.42454766372730995,3.0527051787996067,1830.8009774007396,1809.2295112996303,3855.784336737802,False,1,1,1,2025-05-05 22:40:00+00:00,1830.8009774007396,6.105410357599213,Take Profit
67,short,2025-05-05 23:00:00+00:00,1825.18,0.42305851993725563,3.0125757854802084,1810.9381131521616,1832.3009434239193,3860.7897470954013,False,0,0,1,2025-05-05 23:50:00+00:00,1817.92,3.071404854744472,Model Exit Signal
68,long,2025-05-05 23:50:00+00:00,1817.92,0.42496492166323546,2.68691859881782,1830.5653665319091,1811.5973167340455,3862.7611519501456,False,1,1,1,2025-05-06 00:20:00+00:00,1811.5973167340455,-2.68691859881782,Stop Loss
69,long,2025-05-06 00:40:00+00:00,1811.06,0.42615642036722445,2.7486468907800226,1823.9597089304038,1804.610145534798,3858.9742333513277,False,1,1,1,2025-05-06 01:00:00+00:00,1811.48,0.17898569655426527,Model Exit Signal
70,short,2025-05-06 01:00:00+00:00,1811.48,0.4259559276445649,2.6510493405525133,1799.0324711900962,1817.703764404952,3858.053219047882,False,0,0,1,2025-05-06 01:15:00+00:00,1817.703764404952,-2.6510493405525133,Stop Loss
71,short,2025-05-06 01:15:00+00:00,1816.75,0.4243073807301312,2.6772884016285725,1804.1304297393008,1823.0597851303496,3854.3021697073295,False,0,0,1,2025-05-06 01:40:00+00:00,1804.1304297393008,5.354576803257145,Take Profit
72,long,2025-05-06 02:15:00+00:00,1798.87,0.4289978427024284,3.267421709031932,1814.10281184096,1791.2535940795199,3858.556746510587,False,1,1,1,2025-05-06 05:00:00+00:00,1804.5,2.415257854414719,Model Exit Signal
73,short,2025-05-06 05:00:00+00:00,1804.5,0.42780515426600185,2.0811295944310153,1794.7706661026482,1809.364666948676,3859.872004365002,False,0,0,0,2025-05-06 06:00:00+00:00,1800.69,1.6299376377534438,Model Exit Signal
74,long,2025-05-06 06:00:00+00:00,1800.69,0.42876918758950794,2.067682195983222,1810.3347331376935,1795.8676334311533,3860.4019420027553,False,1,1,1,2025-05-06 08:15:00+00:00,1795.8676334311533,-2.067682195983222,Stop Loss
75,long,2025-05-06 08:15:00+00:00,1793.79,0.4300653097415832,2.548281631133325,1805.6406727857893,1787.8646636071053,3857.234259806772,False,1,1,1,2025-05-06 08:20:00+00:00,1787.8646636071053,-2.548281631133325,Stop Loss
76,long,2025-05-06 08:20:00+00:00,1792.63,0.42993657120271767,2.783205851724809,1805.5770533010905,1786.156473349455,3853.585978175639,False,1,1,1,2025-05-06 10:45:00+00:00,1786.156473349455,-2.783205851724809,Stop Loss
77,long,2025-05-06 12:00:00+00:00,1768.03,0.43547934959518947,4.623159369184558,1789.2625079179168,1757.4137460410416,3849.7027723239144,False,1,1,1,2025-05-06 13:50:00+00:00,1757.4137460410416,-4.623159369184558,Stop Loss
78,long,2025-05-06 14:00:00+00:00,1765.12,0.43554881401318096,5.143204539947488,1788.7371210871065,1753.3114394564466,3843.97961295473,False,1,1,1,2025-05-06 18:55:00+00:00,1788.7371210871065,10.286409079894977,Take Profit
79,short,2025-05-06 19:30:00+00:00,1790.44,0.43041554277547694,3.9095002606278797,1772.2738332513832,1799.5230833743085,3853.166022034625,False,0,0,0,2025-05-06 20:30:00+00:00,1772.2738332513832,7.819000521255759,Take Profit
80,long,2025-05-06 21:25:00+00:00,1766.1,0.43710832031661634,4.080847111162561,1784.772017536553,1756.7639912317234,3859.885022555881,False,1,1,1,2025-05-06 22:00:00+00:00,1784.772017536553,8.161694222325123,Take Profit
81,long,2025-05-06 22:00:00+00:00,1790.05,0.43204901726523903,4.8282124595580616,1812.4002994642572,1778.8748502678714,3866.946716778206,False,1,1,0,2025-05-06 22:50:00+00:00,1812.4002994642572,9.656424919116123,Take Profit
82,long,2025-05-06 23:05:00+00:00,1803.96,0.4296661945605581,5.145455270238827,1827.9109430128724,1791.9845284935639,3875.503141697322,False,1,1,1,2025-05-07 00:20:00+00:00,1827.9109430128724,10.290910540477654,Take Profit
83,short,2025-05-07 01:00:00+00:00,1844.5,0.4212191978571754,5.340251047031163,1819.1438382951296,1857.1780808524352,3884.6940522378,False,0,0,0,2025-05-07 03:15:00+00:00,1819.1438382951296,10.680502094062327,Take Profit
84,long,2025-05-07 03:20:00+00:00,1818.25,0.42835413769634123,3.9341734126621266,1836.6187891230365,1809.0656054384817,3894.2745543318624,False,1,1,1,2025-05-07 07:55:00+00:00,1836.6187891230365,7.868346825324253,Take Profit
85,short,2025-05-07 10:00:00+00:00,1844.27,0.42304466278334385,2.2095357224875634,1833.8241255244761,1849.492937237762,3901.042901157187,False,0,0,1,2025-05-07 10:25:00+00:00,1833.8241255244761,4.419071444975127,Take Profit
86,short,2025-05-07 10:40:00+00:00,1838.92,0.4246364140476108,2.7998649997444613,1825.7328831766627,1845.5135584116688,3904.361972602162,False,0,0,1,2025-05-07 13:05:00+00:00,1825.7328831766627,5.599729999488923,Take Profit
87,short,2025-05-07 14:10:00+00:00,1828.3,0.4275952198875076,3.3460053411770945,1812.6496597456942,1836.1251701271528,3908.861702601651,False,0,0,0,2025-05-07 16:05:00+00:00,1812.6496597456942,6.692010682354189,Take Profit
88,long,2025-05-07 16:25:00+00:00,1803.59,0.43407356586408274,3.8954874362037746,1821.538512614212,1794.6157436928938,3914.453713284005,False,1,1,1,2025-05-07 17:00:00+00:00,1810.32,2.9213150982652847,Model Exit Signal
89,short,2025-05-07 17:00:00+00:00,1810.32,0.43266107963037154,3.6730914923036484,1793.340929474675,1818.8095352626624,3916.2750283822706,False,0,0,1,2025-05-07 17:50:00+00:00,1793.340929474675,7.346182984607297,Take Profit
90,long,2025-05-07 18:05:00+00:00,1791.58,0.43788401426303913,6.25986318923531,1820.1714214053723,1777.2842892973138,3922.521211366878,False,1,1,0,2025-05-07 22:35:00+00:00,1820.1714214053723,12.51972637847062,Take Profit
91,short,2025-05-07 23:00:00+00:00,1818.4,0.4326815813622249,3.8466511999343034,1800.6194825681105,1827.290258715945,3933.940937745349,False,0,0,0,2025-05-08 00:00:00+00:00,1812.13,2.712913515141142,Model Exit Signal
92,long,2025-05-08 00:00:00+00:00,1812.13,0.4343566798475264,3.246323160496387,1827.077729877832,1804.6561350610841,3935.5538512604903,False,1,1,0,2025-05-08 00:55:00+00:00,1827.077729877832,6.492646320992774,Take Profit
93,short,2025-05-08 01:00:00+00:00,1827.36,0.4313267771628452,4.211125556889242,1807.8336187046446,1837.1231906476776,3940.946497581483,False,0,0,0,2025-05-08 02:25:00+00:00,1837.1231906476776,-4.211125556889242,Stop Loss
94,long,2025-05-08 03:00:00+00:00,1842.88,0.42711792108271773,4.376543187631063,1863.3733718376266,1832.6333140811869,3935.635372024594,False,1,1,0,2025-05-08 03:20:00+00:00,1863.3733718376266,8.753086375262127,Take Profit
95,short,2025-05-08 04:15:00+00:00,1910.1,0.41288816903825526,7.565650797725701,1873.4525425766087,1928.4237287116955,3943.288458399856,False,0,0,0,2025-05-08 07:30:00+00:00,1928.4237287116955,-7.565650797725701,Stop Loss
96,short,2025-05-08 07:30:00+00:00,1937.9,0.4060707784304794,4.998968771316253,1913.2788303081647,1950.2105848459178,3934.6228076021307,False,0,0,0,2025-05-08 10:25:00+00:00,1950.2105848459178,-4.998968771316253,Stop Loss
97,short,2025-05-09 01:15:00+00:00,2225.72,0.35301150538529685,8.579745744581984,2177.1111268403697,2250.024436579815,3928.5238388308144,False,0,0,0,2025-05-09 06:25:00+00:00,2250.024436579815,-8.579745744581984,Stop Loss
98,short,2025-05-09 09:00:00+00:00,2414.1,0.32466294628111786,19.45668881486984,2294.242227268382,2474.028886365809,3918.8440930862325,False,0,0,0,2025-05-09 09:25:00+00:00,2310.96,33.485736279434455,Model Exit Signal
99,long,2025-05-09 09:25:00+00:00,2310.96,0.3419557092607113,23.291405732279156,2447.1846928564746,2242.8476535717627,3951.2298293656672,False,1,1,1,2025-05-09 11:20:00+00:00,2373.44,21.365392714609246,Model Exit Signal
100,short,2025-05-09 11:20:00+00:00,2373.44,0.3346615226911383,11.861057827146979,2302.5560947827657,2408.881952608617,3971.4952220802766,False,0,0,0,2025-05-09 14:35:00+00:00,2302.5560947827657,23.722115654293958,Take Profit
101,short,2025-05-10 00:00:00+00:00,2352.44,0.33957230260789395,3.8543362552497036,2329.7388772897634,2363.7905613551184,3994.117337734571,False,0,0,0,2025-05-10 00:15:00+00:00,2363.7905613551184,-3.8543362552497036,Stop Loss
102,short,2025-05-10 00:15:00+00:00,2366.6,0.3371218627126951,5.087356057309721,2336.4188897250765,2381.6905551374616,3989.1630014793213,False,0,0,0,2025-05-10 00:45:00+00:00,2336.4188897250765,10.174712114619442,Take Profit
