symbol,orderType,leverage,updatedTime,side,orderId,closedPnl,openFee,closeFee,avgEntryPrice,qty,cumEntryValue,createdTime,orderPrice,closedSize,avgExitPrice,execType,fillCount,cumExitValue,createdTime_readable,updatedTime_readable,ticker,date
PONKEUSDT,Market,20,1762537588037,Buy,2cf5afd9-5e51-4ecc-8a09-49f99c62fd68,0.05101527,0.00300773,0.008237,0.05314,283.0,15.03862,1762537588033,0.05579,283.0,0.05292,Trade,1,14.97636,2025-11-07 17:46:28,2025-11-07 17:46:28,PONKEUSDT,2025-11-07
PONKEUSDT,Market,20,1762536508186,Buy,d030e8ec-f28d-4ce6-9df5-df19616dea5e,-0.92742338,0.01125514,0.03143824,0.05139333,1095.0,56.2757,1762533939027,0.05396,1095.0,0.05220131,Trade,5,57.16043,2025-11-07 16:45:39,2025-11-07 17:28:28,PONKEUSDT,2025-11-07
PONKEUSDT,Market,20,1762526686347,Sell,667cd85a-e3ed-4ddb-9cb1-8f1a62010208,0.66919397,0.00828552,0.02317051,0.04697,882.0,41.42754,1762524387358,0.04463,882.0,0.04776438,Trade,2,42.12819,2025-11-07 14:06:27,2025-11-07 14:44:46,PONKEUSDT,2025-11-07
PONKEUSDT,Market,20,1762522777284,Sell,50a5dc64-0e18-4c59-a287-e544da405fae,0.28339975,0.00861773,0.02387252,0.04704,916.0,43.08864,1762522777281,0.04469,916.0,0.04738485,Trade,4,43.40453,2025-11-07 13:39:37,2025-11-07 13:39:37,PONKEUSDT,2025-11-07
PONKEUSDT,Market,20,1762514049248,Sell,53996139-27e6-41fb-a8e5-6078f55c2648,-0.96667843,0.01394976,0.03785867,0.04843667,1440.0,69.7488,1762508084454,0.04602,1440.0,0.04780134,Trade,4,68.83393,2025-11-07 09:34:44,2025-11-07 11:14:09,PONKEUSDT,2025-11-07
PONKEUSDT,Market,20,1762507412358,Sell,168031a2-c712-42de-ba73-ee64f186cc1a,-1.07650859,0.013775,0.03731789,0.04969334,1386.0,68.87496,1762502014444,0.04721,1386.0,0.04895432,Trade,3,67.8507,2025-11-07 07:53:34,2025-11-07 09:23:32,PONKEUSDT,2025-11-07
PONKEUSDT,Market,20,1762483609315,Buy,0400a677-d1ee-4223-91c6-531ead3f797a,-1.14248331,0.01512706,0.04219625,0.04886,1548.0,75.63528,1762480518175,0.0513,1548.0,0.04956101,Trade,3,76.72044,2025-11-07 01:55:18,2025-11-07 02:46:49,PONKEUSDT,2025-11-07
PONKEUSDT,Market,20,1762474212157,Sell,ec267ce9-b1be-480c-9969-9d404b68d1ff,0.00653525,0.00011519,0.00032063,0.04799667,12.0,0.57596,1762474212154,0.0456,12.0,0.04858,Trade,1,0.58296,2025-11-07 00:10:12,2025-11-07 00:10:12,PONKEUSDT,2025-11-07
SOLUSDT,Market,20,1762536592087,Buy,4e9ca70e-2ff4-487b-8f99-b91e82fda479,-0.70010795,0.0095314,0.02657655,158.85666666,0.3,47.657,1762533108043,166.79,0.3,161.07,Trade,1,48.321,2025-11-07 16:31:48,2025-11-07 17:29:52,SOLUSDT,2025-11-07
SOLUSDT,Market,20,1762532668105,Buy,dc2bf93d-abf0-4c00-97d9-9b3b2c997e09,-0.55537416,0.0093332,0.02595285,155.55333333,0.3,46.666,1762528207224,163.33,0.3,157.29,Trade,1,47.187,2025-11-07 15:10:07,2025-11-07 16:24:28,SOLUSDT,2025-11-07
